moller_no,gardiner_no,unicode_cp,unicode_char,jsesh,mdc,hieroglyphica,ifao,wikidata_id,wikidata_label,wikidata_image,tsl_id,desc,match_type
329,N33,U+13212,𓈒,N33,N33,N33,"274,2",Q117861425,Grain of sand,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-N33.png,,A grain of sand.,matched
330,N18,U+13200,𓈀,N18,iw N18,N18,"269,4",Q117861339,Island,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-N18.png,,An oval of sand.,matched
331,N35,U+13216,𓈖,N35,n N35,N35,"277,2",Q3046655,N-water ripple,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-N35.png,,A ripple of water.,matched
333,N35×3,,,,,,,,,,,,unmatched
334,N36,U+13218,𓈘,N36,N36,N36,"277,11",Q117861564,Canal (mr hieroglyph),http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-N36.png,,A canal.,matched
335,N37/N38/N39,U+13219,𓈙,N37,S N37,N37,"278,7",Q7228556,𓈙,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-N37.png,,A rectangular pool.,matched
337,N102,,,,,,,,,,,,unmatched
339,O49,U+13296,𓊖,O49,niwt O49,O49,"324,5",Q5188806,Crossroads,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-O49.png,,A plan of a crossroads in a village.,matched
340,O1,U+13250,𓉐,O1,pr O1,O1,"280,1",Q3278571,𓉐,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-O1.png,,A house or enclosure.,matched
341,O16/O17,U+1326A,𓉪,,O16,,,,,,," A plan and façade of a hall, with a cornice with Uraei on top, with half orientated forwards and half orientated backwards.",matched
342,O4,U+13254,𓉔,O4,h O4,O4,"283,2",Q7306723,𓉔 winding wall,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-O4.png,,A plan of a courtyard or reed shelter.,matched
343,O5,U+13255,𓉕,O5,O5,O5,"283,8",Q118150997,Winding wall (mr hieroglyph),http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-O5.png,,A plan of a winding wall.,matched
344,O15,U+13269,𓉩,O15,wsxt O15,O15,"296,10",Q117861707,Wide hall,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-O15.png,,"A wide cup (W10) above a half round loaf of bread (X1), written inside the enclosed part of an enclosure wall without battlements, with a block on each corner.",matched
345,O6,U+13257,𓉗,O6,Hwt O6,O6,"284,1",Q117861651,Building (hwt hieroglyph),http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-O7.png,,"A plan of a rectangular enclosure, with an internal rectangle in the lower corner away from the reading direction.",matched
347,O9b,,,,,,,,,,,,unmatched
348,O11,U+13265,𓉥,O11,aH O11,O11,"293,5",Q117861681,Palace,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-O12.png,,"A wall of the palace, with ornamental chevaux de frise on top of the wall, with internal decoration.",matched
349,O45/O46,U+13292,𓊒,O45,ipt O45,O45,"322,12",,,,,"A domed building, in the form of a quarter of a circle, with a smaller quarter circle inside the corner away from the reading direction.",matched
350,O190,,,,,,,,,,,,unmatched
351,O18,U+1326C,𓉬,O18,kAr O18,O18,"304,8",Q64526160,𓉬 shrine,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-O18.png,,"A shrine, seen from the side, with a downwards sloping roof.",matched
352,O22,U+13272,𓉲,O22,zH O22,O22,"310,5",Q117861721,Tent of mats,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-O22.png,,An open booth supported by a pole.,matched
353,W4,U+133B3,𓎳,W4,W4,W4,"311,4",Q117871749,Tent and basin,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-W4.png,,"An open booth supported by a pole (O22), on top of an alabaster basin with a diamond shaped inner marking (W3).",matched
354,O23,U+13273,𓉳,O23,O23,O23,"310,12",Q6301899,𓉳,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-O23.png,,"A double pavilion, with flower-topped capitals on the columns, with curved roofs, with two carrying chairs (Q2) facing away from one another.",matched
355,M43,U+131ED,𓇭,M43,M43,M43,,Q5596998,𓇭,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-M43.png,,"A vine with fruits on two forked supports, with the back of the vine descending down, into a basket or vessel.",matched
356,O51,U+1329A,𓊚,O51,Snwt O51,O51,,Q117861854,Barn,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-O51.png,,A heap of grain on a raised floor.,matched
357,O39,U+1328C,𓊌,O39,O39,O39,"321,11",Q117861820,Block of stone,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-O39.png,,A rectangular stone slab or brick.,matched
358,O36,U+13285,𓊅,O36,inb O36,O36,"299,1",Q117861812,Wall,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-O36.png,,"A wall, written vertically, with battlements on the corners, and one in the middle of the long sides.",matched
359,O37,U+1328A,𓊊,O37,O37,O37,,,,,,"A wall, with battlements on the corners, and one in the middle of the long sides, written at a forward angle.",matched
360,O33,U+13281,𓊁,O33,O33,,,Q117861794,Serekh,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-O33.png,,"A façade of a palace or tomb, with the top resembling two floating horizontal lines.",matched
361,O40,U+1328D,𓊍,O40,O40,O40,"319,8",Q7597078,𓊍,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-O40.png,,A stairway.,matched
362,O28,U+1327A,𓉺,,iwn O28,,"314,11",Q117861744,Pillar (iwn hieroglyph),http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-O28.png,,"A column with a tenon at the top, represented as a vertical line.",matched
363,O29,U+1327B,𓉻,O29,aA O29,O29,,Q117861769,Column,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-O29.png,,"A wooden column, written horizontally.",matched
364,O31,U+1327F,𓉿,O31,O31,O31,"317,4",Q117861779,Wing of door,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-O31.png,,"A tenoned door, written horizontally.",matched
365,O??,,,,,,,,,,,,unknown
366,O34,U+13283,𓊃,O34,z O34,O34,"317,10",Q117861804,Door bolt (s hieroglyph),http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-O34.png,,A door-bolt.,matched
368,O42/O43,U+1328F,𓊏,O42,Szp O42,O42,"319,14",,,,,"A fence, consisting of a horizontal base with four lines with bulbs at the end, angled backwards, with a curved line connecting the front of the base and the first line with a bulb, with a horizontal line with a loop at the front through the bulbs.",matched
369,O26,U+13278,𓉸,O26,O26,O26,"313,13",Q117861734,Stela,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-O26.png,,A stela on a base.,matched
370,O25,U+13276,𓉶,O25,txn O25,O25,"313,7",Q7074700,𓉶,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-O25.png,,"An obelisk, with base.",matched
371,O24,U+13274,𓉴,O24,O24,O24,"313,2",Q117861728,Pyramid (mr hieroglyph),http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-O24.png,,A pyramid with an enclosure wall.,matched
372,Q6,U+132AD,𓊭,Q6,qrsw Q6,Q6,,Q117865760,Sarcophagus,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-Q6.png,,"A rectangular coffin with a rounded lid, and upstanding sides, with legs at the side.",matched
373,O20,U+1326F,𓉯,O20,O20,O20,"307,10",,,,,"A tall shrine with a round roof, with two vertical lines enclosing the top, on a base, with internal decoration consisting of two vertical lines",matched
374,P1,U+1329B,𓊛,P1,P1,P1,"325,8",Q117862349,Ship on water,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-P1.png,,"A boat/ship, resembling a crescent moon, on top of a rectangle representing water, with a carrying chair (Q2) inside the boat/ship, with an oar/rudder at the back.",matched
375,P(1),U+1329B,𓊛,P1,P1,P1,"325,8",,,,,"A boat/ship, resembling a crescent moon, on top of a rectangle representing water, with a carrying chair (Q2) inside the boat/ship, with an oar/rudder at the back.",matched
376,P4,U+132A0,𓊠,P4,wHa P4,P4,"332,9",Q117862618,Fishing boat with net,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-P4.png,,"A fishersman's boat, on top of a rectangle representing water, with a net inside the boat, without internal detail.",matched
377,P3,U+1329E,𓊞,,P3,,,Q117862553,Barque with naos,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-P3.png,,"A boat/ship with a vertical prow and a stern resembling the handle of a handle of a sickle (U1), on top of a rectangle resembling water, with an oval with rounded corners in the boat/ship, with an oar/rudder at the back.",matched
378,G10,U+1314B,𓅋,G10,G10,G10,,Q117859733,Sokaris,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-G10.png,,"A falcon (G5), on top of a moon-sickle shaped boat with an higher prow than stern, with a rudder, with the head of an antilope (F81) on top of the prow, facing inwards, with a downwards line with multiple horizontal lines written over it coming from the head, on top of a sledge (P60B).",matched
379,P5,U+132A1,𓊡,P5,nfw P5,P5,,Q7400127,𓊡,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-P5.png,,"A rectangular sail, on a mast of a ship with two prongs, connected by vertical lines (P6), written behind the sail.",matched
380,P6,U+132A2,𓊢,P6,aHa P6,P6,"335,7",Q6784854,𓊢,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-P6.png,,"A mast of a ship with two prongs, connected by vertical lines.",matched
381,P8,U+132A4,𓊤,P8,xrw P8,P8,"336,15",Q117862740,Oar,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-P8.png,,"An oar, written vertically.",matched
382,P10,U+132A6,𓊦,P10,P10,P10,"337,5",Q117862972,Rudder,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-P10.png,,An oar used for the steering of a ship (rudder).,matched
383,Q1,U+132A8,𓊨,Q1,st Q1,Q1,"339,4",Q117863204,Throne (st hieroglyph),http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-Q1.png,,A seat.,matched
384,"Q19, A55",,,,,,,,,,,,unmatched
386,O18,U+1326C,𓉬,O18,kAr O18,O18,"304,8",Q64526160,𓉬 shrine,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-O18.png,,"A shrine, seen from the side, with a downwards sloping roof.",matched
387,Q5,U+132AC,𓊬,Q5,Q5,Q5,"261,2",Q117865757,Chest,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-Q5.png,,"A rectangular chest, with legs at the side.",matched
388,Q3,U+132AA,𓊪,Q3,p Q3,Q3,"340,5",Q7619641,"Mat, stool",http://commons.wikimedia.org/wiki/Special:FilePath/Louvres-antiquites-egyptiennes-img%202734.jpg,,A stool made of reed matting.,matched
389,V17,U+13383,𓎃,V17,V17,V17,"436,10",Q117866507,Papyrus mat (sa hieroglyph),http://commons.wikimedia.org/wiki/Special:FilePath/Sa%20amulet.svg,,A rolled up herdsman's shelter of papyrus with an rectangle at either side of the loop.,matched
390,Aa5,,,,,,,Q117874316,Rudder-parts,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-Aa5.png,,,unmatched
391,U28/U29,U+13351,𓍑,U28,DA U28,U28,"401,2",,,,,A fire-drill in a piece of wood.,matched
392,I6,U+1318E,𓆎,I6,km I6,,,Q1738480,𓆎,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-I6.png,,"A piece of crocodile skin with horizontal spines, or tail of a crocodile.",matched
393,U30,U+13354,𓍔,U30,U30,U30,"402,5",Q117866303,Kiln,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-U30.png,,A pottery kiln.,matched
394,Q7,U+132AE,𓊮,Q7,Q7,Q7,"344,14",Q4958604,𓊮,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-Q7.png,," A brazier with a flame rising from it, flame angling towards the front.",matched
395,W11/W12,U+133BC,𓎼,W11,g W11,W11,"450,9",Q6159438,𓎼,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-W11.png,,A ring-stand for jars.,matched
396,W11/W12,U+133BC,𓎼,W11,g W11,W11,"450,9",Q6159438,𓎼,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-W11.png,,A ring-stand for jars.,matched
397,T28,U+13328,𓌨,T28,Xr T28,T28,"427,7",Q117866099,Butcher block,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-T28.png,,A butcher's block.,matched
398,V29,U+1339D,𓎝,V29,wAH V29,V29,"440,14",Q117869281,Wick and fibers,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-V29.png,,A swab made from a hank of fibre with two loops.,matched
399,V29,U+1339D,𓎝,V29,wAH V29,V29,"440,14",Q117869281,Wick and fibers,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-V29.png,,A swab made from a hank of fibre with two loops.,matched
400,V29,U+1339D,𓎝,V29,wAH V29,V29,"440,14",Q117869281,Wick and fibers,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-V29.png,,A swab made from a hank of fibre with two loops.,matched
401,U33,U+13358,𓍘,U33,ti U33,U33,"403,7",Q117866313,Pestle,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-U33.png,,A pestle.,matched
402,U32,U+13356,𓍖,U32,zmn U32,U32,"402,15",Q117866309,Pestle and mortar,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-U32.png,,"A pestle, inside a round-bottomed mortar.",matched
403,O50,U+13297,𓊗,O50,zp O50,,,Q117861852,Threshing floor,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-O50.png,,A circular threshing floor covered with grain.,matched
404,U38,U+1335D,𓍝,U38,mxAt U38,U38,"405,8",Q117866335,Balance,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-U38.png,,"A balance, with a plummet resembling a heart (F34).",matched
405,U39,U+1335E,𓍞,U39,U39,U39,"407,2",Q117866338,Stand of balance,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-U39.png,,"The pole of a balance, on a horizontal base, with a angled line on each side as support.",matched
406,S36/S35,U+132FC,𓋼,S36,S36,S36,"358,3",,,,,"A sun shade, made of a staff which holds feathers at the top, resembling a half circle, without internal detail.",matched
407,S37,U+132FD,𓋽,S37,xw S37,S37,,Q117865899,Fan,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-S37.png,,"A one handed fan, with a handle resembling a stem of papyrus with a bud (M13).",matched
408,F31,U+1311F,𓄟,F31,ms F31,F31,"163,2",Q18106981,𓄟,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-F31.png,,"Three skins of foxes, tied together at the top.",matched
409,S10a,,,,,,,,,,,,unmatched
410,S57,,,,,,,,,,,,unmatched
411,S1,U+132D1,𓋑,S1,HDt S1,S1,"366,1",Q117865826,White crown,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-S1.png,,The white crown of Upper Egypt.,matched
413,S3,U+132D4,𓋔,S3,dSrt S3,S3,"367,1",Q6951503,𓋔 red crown,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-S3.png,,The red crown of Lower Egypt.,matched
414,S5=S1+S3,,𓋖+𓋑+𓋔,,,,,,,,,,unmatched
415,S8,U+132DA,𓋚,S8,Atf S8,S8,"369,5",Q4812991,𓋚 Atef crown,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-S8.png,,The Atef crown with rams horns and a sun disk.,matched
416,S9,U+132DB,𓋛,S9,Swty S9,S9,,Q1498692,Shuty crown,http://commons.wikimedia.org/wiki/Special:FilePath/Shuti%20crown%20of%20Amun.svg,,A headdress consisting of two plumes.,matched
417,S15,U+132E3,𓋣,S15,tHn S15,S15,"375,11",Q117865847,Pectoral,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-S15.png,,A pectoral of three glass or faïence beads.,matched
418,S11,U+132DD,𓋝,S11,wsx S11,S11,,Q117865843,Collar,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-S11.png,,A collar of beads with ornamental terminals.,matched
419,S12,U+132DE,𓋞,S12,nbw S12,S12,"374,16",Q5578573,𓋞,http://commons.wikimedia.org/wiki/Special:FilePath/Nebu%20symbol.svg,,A collar of beads.,matched
421,S23,U+132EC,𓋬,S23,dmD S23,S23,,Q7859462,𓋬,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-S23.png,,Two pieces of cloth strung together / Two flagellums (S45) on top of/written through a cartouche in a round form (V9).,matched
422,S20,U+132E9,𓋩,S20,xtm S20,S20,"377,14",Q117865851,Seal,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-S20.png,,"A seal, attached to a neck string.",matched
423,S19,U+132E8,𓋨,S19,sDAw S19,S19,"377,7",Q117865850,Seal with cording,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-S19.png,,"A seal, attached to a neck string, with the sting curving backwards and downwards, with a loop below the seal.",matched
424,S18,U+132E7,𓋧,S18,mnit S18,S18,,Q117865848,Menat necklace,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-S18.png,,A bead necklace with a counterweight.,matched
425,Aa20,,,,,,,Q117874882,Apr symbol,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-Aa20.png,,,unmatched
426,S10,U+132DC,𓋜,S10,mDH S10,S10,"371,12",Q117865842,Headband,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-S10.png,,"A band of cloth, used as a fillet.",matched
427,S26,U+132EF,𓋯,S26,Sndyt S26,S26,"379,7",Q131704669,Shendyt,,,A kilt or apron.,matched
428,S22,U+132EB,𓋫,S22,sT S22,S22,"378,4",Q117865865,Shoulder knot,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-S22.png,,"A shoulder knot, with loops a the top ends and ties at the bottom ends.",matched
429,S32,U+132F7,𓋷,S32,siA S32,S32,"382,2",Q117865883,Cloth with fringes (sja hieroglyph),http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-S32.png,,"A rectangular piece of cloth, with sloping fringes on its front short side, without internal decoration.",matched
430,S28,U+132F3,𓋳,S28,S28,,"380,2",Q117865877,Cloth with fringes (khbs hieroglyph),http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-S28.png,,"A horizontal strip of cloth with fringes, combined with a folded piece of cloth (S29).",matched
431,S27,U+132F2,𓋲,S27,mnxt S27,S27,"379,13",Q117865875,Cloth with fringes,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-S27.png,,A horizontal strip of cloth with two fringes.,matched
432,S29,U+132F4,𓋴,S29,s S29,S29,"380,6",Q5464280,𓋴,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-S29.png,,A folded piece of cloth.,matched
433,S33,U+132F8,𓋸,S33,Tb S33,S33,"382,8",Q117865887,Sandal,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-S33.png,,A sandal.,matched
434,T62,,,,,,,,,,,,unmatched
435,T10,U+13314,𓌔,T10,pD T10,T10,"415,11",,,,,"A composite bow, with handle bound to the bowstring when out of use.",matched
436,T9,U+13312,𓌒,T9,pd T9,T9,"415,9",Q117866039,Bow,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-T9.png,,"A bow, written horizontally, with a rectangular central section, with the tips of the bow forming a bowl-shaped loop.",matched
437,Aa32,,,,,,,,,,,,unmatched
438,T12,U+13317,𓌗,T12,rwd T12,T12,"418,3",Q4951440,𓌗,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-T12.png,,"A bow-string, coiled up, with a loop at the front end, and the back end angled downwards, with a loop on it.",matched
439,T11,U+13315,𓌕,T11,zwn T11,T11,,Q117866043,Arrow,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-T11.png,,An arrow with rounded fletching.,matched
440,T8,U+13310,𓌐,T8,T8,T8,"414,8",Q117866033,Dagger (tp hieroglyph),http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-T8.png,,A dagger within a round tipped sheath.,matched
441,T30,U+1332A,𓌪,T30,T30,T30,"429,10",Q117866101,Knife,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-T30.png,,A knife with a rounded blade and rounded handle.,matched
443,T18,U+1331E,𓌞,T18,Sms T18,T18,"421,5",Q117866070,Follower symbol,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-T18.png,,"A shepherds crook with a package lashed to it, with a tie above and below the package.",matched
444,T33,U+1332E,𓌮,T33,T33,T33,"430,9",,,,,"A knife sharpener, with a thin, curved body, and a loop at the end.",matched
446,N34,U+13214,𓈔,N34,N34,N34,,Q117861433,Metal,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-N34.png,,An ingot of metal.,matched
447,T3/T4,U+13309,𓌉,T3,HD T3,T3,"411,4",,,,,"A mace with a pear-shaped head, written vertically.",matched
448,T1,U+13307,𓌇,T1,T1,T1,,Q117866018,Disk mace,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-T1.png,,"A mace with cup or dish shaped head, written horizontally.",matched
449,S42,U+13302,𓌂,S42,xrp S42,S42,"385,7",Q117865924,Sekhem sceptre,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-S42.png,,A sceptre.,matched
450,S42,U+13302,𓌂,S42,xrp S42,S42,"385,7",Q117865924,Sekhem sceptre,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-S42.png,,A sceptre.,matched
451,S42,U+13302,𓌂,S42,xrp S42,S42,"385,7",Q117865924,Sekhem sceptre,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-S42.png,,A sceptre.,matched
452,S44a,,,,,,,,,,,,unmatched
453,S38,U+132FE,𓋾,S38,HqA S38,S38,"384,7",Q117865905,Crook,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-S38.png,,A crook.,matched
454,S39,U+132FF,𓋿,S39,awt S39,S39,"387,1",,,,,A shepherd's crook.,matched
455,S40,U+13300,𓌀,S40,wAs S40,S40,"384,11",Q117865917,Was sceptre,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-S40.png,,"A sceptre with a straight shaft, a forked base, topped with the head of the Seth animal.",matched
456,S43,U+13303,𓌃,S43,md S43,S43,"386,8",Q117865929,Walking stick,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-S43.png,,A staff which widens towards the bottom.,matched
457,T14/T15,U+13319,𓌙,T14,qmA T14,T14,"419,10",Q7798521,𓌙,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-T14.png,,"A throwing-stick, or a club used by foreign people.",matched
458,S45,U+13305,𓌅,S45,nxxw S45,S45,"387,2",Q117865954,Flail,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-S45.png,,"A flagellum or flail, with the stick oriented forwards.",matched
459,V22/V23,U+13394,𓎔,V22,mH V22,V22,"437,8",,,,,A whip.,matched
460,T19/T20,U+1331F,𓌟,T19B,qs T19,T19B,"421,13",,,,,A harpoon-head with two horizontal strokes on top and an angled stroke below a curl as point.,matched
461,T21,U+13321,𓌡,T21,wa T21,T21,"423,6",Q5663609,𓌡,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-T21.png,,"An one-barbed harpoon, with handle, written horizontally.",matched
462,T25,U+13325,𓌥,T25,DbA T25,T25,,Q117866090,Float for net,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-T25.png,,"A float, made of reed, with a tie towards the front at the top.",matched
463,T24,U+13324,𓌤,T24,iH T24,T24,,Q117866085,Fishing net,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-T24.png,,A net used for fishing or fowling.,matched
464,T26/T27,U+13326,𓌦,T26,T26,T26,,,,,,"A bird trap consisting of a horizontal beam and vertical beam, with two lines running from the horizontal beam to the vertical beam, crossing in the middle.",matched
465,U6/U7,U+13338,𓌸,U6,mr U6,U6,"389,12",,,,,"A hoe with a rope connecting the two pieces, written at an angle.",matched
466,U8,U+1333C,𓌼,U8,U8,U8,"390,6",Q117866202,Hoe (hn hieroglyph),http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-U8.png,,A hoe without a rope connecting the two pieces.,matched
467,U17/U18,U+13345,𓍅,U17,grg U17,U17,"394,5",Q7190688,𓍅,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-U17.png,,"A hoe or pick excavating a rectangular pool, with the handle angling downwards.",matched
468,U13/U14,U+13341,𓍁,U13,hb U13,U13,,,,,,"A plough, with a cross-bar and two vertical lines on the end of the long beam.",matched
469,U1/U2,U+13333,𓌳,U1,mA U1,U1,"388,1",,,,,A sickle.,matched
470,U9,U+1333D,𓌽,U9,U9,U9,,Q117866211,Corn measure,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-U9.png,,"A grain measure, with a forwards and downwards line of grain coming from the front.",matched
471,V19,U+13385,𓎅,V19,mDt V19,V19,"436,13",Q117866547,Animal fetter,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-V19.png,,A hobble for cattle with a crossbar.,matched
472,P11,U+132A7,𓊧,P11,P11,P11,"338,1",Q117863112,Mooring post,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-P11.png,,A mooring post.,matched
473,U35,U+1335A,𓍚,U35,U35,U35,"404,4",Q117866317,Spindle,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-U34.png,,"A horned desert viper (Cerastes cerastes) (I9), written over a spindle (U34).",matched
474,V25/V24,U+13398,𓎘,V25,V25,V25,"438,11",,,,,"A string wound on a stick, with a tie sticking out at the front.",matched
475,V26/V27,U+13399,𓎙,V26,aD V26,V26,"439,4",,,,,"A double forked tool for the mending of nets, with a broad middle section.",matched
476,Aa23/Aa24,,,,,,,,,,,,unmatched
477,Aa11/Aa12,,,,,,,,,,,,unmatched
478,O38,U+1328B,𓊋,O38,qnbt O38,O38,"318,12",Q117861817,Corner,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-O38.png,,"The corner of a wall, with the opening in the bottom right corner.",matched
479,(T30+?),,𓌪,,,,,,,,,,compound
